category,category_id,variant_id,stored_count,attempt_count,success_count,failure_count,attempt_step_sum,success_step_sum,failure_step_sum,attempt_step_max,num_copies,object_id,z_shift,table_size_x,table_size_y,table_size_z,object_mass,target_count,missing_to_target,complete_32,success_rate,stored_rate,mean_attempt_steps,mean_success_steps,mean_failure_steps,attempt_steps_per_stored,attempt_steps_per_success,stored_per_1k_attempt_steps,success_per_1k_attempt_steps,copies_with_stored,max_copy_stored,min_copy_stored,mean_copy_stored,copies_with_attempts,object_name
afar,0,841,7,99,96,0,48905,47685,1220,599,4,30,0.500218391418457,0.5328766107559204,1.1588741540908811,0.050000000745058,0.5939550995826721,32,25,False,0.9696969696969696,0.0707070707070707,493.989898989899,496.71875,,6986.428571428572,509.4270833333333,0.1431346488089152,1.962989469379409,2,6,0,1.75,4,chocolate_milk_4
afar,0,1768,8,107,94,4,49193,44104,5089,599,4,2,0.6388392448425293,0.6604543924331665,0.6057809591293335,0.050000000745058,0.4414663016796112,32,24,False,0.8785046728971962,0.0747663551401869,459.7476635514018,469.1914893617021,1272.25,6149.125,523.3297872340426,0.1626247636858902,1.9108409733092109,3,5,0,2.0,4,Dixie_cup_3
afar,0,1030,8,104,103,0,49094,48495,599,599,4,22,0.5184091329574585,0.6936682462692261,0.9016708731651306,0.050000000745058,0.569069504737854,32,24,False,0.9903846153846154,0.0769230769230769,472.0576923076923,470.8252427184466,,6136.75,476.6407766990291,0.1629527029779606,2.0980160508412435,3,4,0,2.0,4,candy_cane_1
afar,0,1387,9,111,100,8,48594,44264,4330,599,4,17,0.7621978521347046,0.5151833891868591,0.6565542817115784,0.050000000745058,0.4820777177810669,32,23,False,0.9009009009009008,0.081081081081081,437.7837837837838,442.64,541.25,5399.333333333333,485.94,0.1852080503765897,2.057867226406552,3,7,0,2.25,4,bottle_0
afar,0,1152,9,98,95,0,48507,47282,1225,599,4,29,0.469865083694458,0.6398716568946838,1.128596544265747,0.050000000745058,0.2737696766853332,32,23,False,0.9693877551020408,0.0918367346938775,494.9693877551021,497.7052631578948,,5389.666666666667,510.6,0.1855402313068217,1.9584802193497848,3,5,0,2.25,4,chicken_(animal)_2
afar,0,507,11,90,63,11,49331,34916,14415,599,4,29,0.4229026138782501,0.5508400201797485,0.6070172786712646,0.050000000745058,0.5518167614936829,32,21,False,0.7,0.1222222222222222,548.1222222222223,554.2222222222222,1310.4545454545455,4484.636363636364,783.031746031746,0.2229835194907867,1.2770874298108694,2,10,0,2.75,4,chicken_(animal)_2
afar,0,475,11,109,99,2,49142,44662,4480,599,4,15,0.7634673118591309,0.569632887840271,0.6147445440292358,0.050000000745058,0.5984399318695068,32,21,False,0.908256880733945,0.1009174311926605,450.8440366972477,451.1313131313131,2240.0,4467.454545454545,496.3838383838384,0.2238411135077937,2.014570021570144,2,7,0,2.75,4,bolt_1
afar,0,493,11,101,93,1,48940,44375,4565,599,4,26,0.425393134355545,0.5139309167861938,0.6426644325256348,0.050000000745058,0.400722473859787,32,21,False,0.9207920792079208,0.1089108910891089,484.5544554455445,477.1505376344086,4565.0,4449.090909090909,526.236559139785,0.2247650183898651,1.90028606456886,4,4,1,2.75,4,canister_3
afar,0,449,11,91,70,2,48936,36357,12579,599,4,7,0.4232208132743835,0.6098278760910034,0.8334052562713623,0.050000000745058,0.3428889513015747,32,21,False,0.7692307692307693,0.1208791208791208,537.7582417582418,519.3857142857142,6289.5,4448.727272727273,699.0857142857143,0.2247833905509236,1.4304397580513324,3,9,0,2.75,4,atomizer_0
afar,0,971,11,104,102,0,48820,47622,1198,599,4,0,0.5934906601905823,0.5456260442733765,1.1713488101959229,0.050000000745058,0.532433807849884,32,21,False,0.9807692307692308,0.1057692307692307,469.4230769230769,466.88235294117646,,4438.181818181818,478.62745098039215,0.225317492830807,2.089307660794756,3,7,0,2.75,4,Band_Aid_0
